유형,이름,값
TXT,_amazonses.somsolution.awsapps.com,xVE5G4WMnYc/YDpHtwAp/wN1Xr6TemZkw0Qdlz7/A28=
TXT,somsolution.awsapps.com,amazonses:xVE5G4WMnYc/YDpHtwAp/wN1Xr6TemZkw0Qdlz7/A28=
